route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
87-247,NOV25-TroyRMB-Weekday-12,13017777-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017778-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017779-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017780-NOV25-TroyRMB-Weekday-12,"Downtown Troy to Brunswick",0,870500,1,1
87-247,NOV25-TroyRMB-Weekday-12,13017781-NOV25-TroyRMB-Weekday-12,"Brunswick to Downtown Troy",1,870502,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017782-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017783-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017784-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017785-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017786-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017787-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017788-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017789-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017790-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017791-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017792-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017793-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017794-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017795-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017796-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017797-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017798-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017799-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017800-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017801-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017802-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017803-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017804-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017805-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017806-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017807-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017808-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017809-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017810-NOV25-TroyRMB-Weekday-12,"Downtown Troy to ESP Concourse",1,2240410,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017811-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017812-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017813-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017814-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017815-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
224-247,NOV25-TroyRMB-Weekday-12,13017816-NOV25-TroyRMB-Weekday-12,"ESP Concourse to Downtown Troy",0,2240371,1,1
